〔Book〕	〔KJVbook｜KJVchapter｜KJVverse〕	〔BHSbook｜BHSchapter｜BHSverse〕
13	〔13｜6｜74〕	〔13｜6｜59〕
13	〔13｜6｜75〕	〔13｜6｜60〕
13	〔13｜6｜76〕	〔13｜6｜61〕
13	〔13｜6｜77〕	〔13｜6｜62〕
13	〔13｜6｜78〕	〔13｜6｜63〕
13	〔13｜6｜79〕	〔13｜6｜64〕
13	〔13｜6｜7〕	〔13｜5｜33〕
13	〔13｜6｜80〕	〔13｜6｜65〕
13	〔13｜6｜81〕	〔13｜6｜66〕
13	〔13｜6｜8〕	〔13｜5｜34〕
13	〔13｜6｜9〕	〔13｜5｜35〕
14	〔14｜14｜10〕	〔14｜14｜9〕
14	〔14｜14｜11〕	〔14｜14｜10〕
14	〔14｜14｜12〕	〔14｜14｜11〕
14	〔14｜14｜13〕	〔14｜14｜12〕
14	〔14｜14｜14〕	〔14｜14｜13〕
14	〔14｜14｜15〕	〔14｜14｜14〕
14	〔14｜14｜1〕	〔14｜13｜23〕
14	〔14｜14｜2〕	〔14｜14｜1〕
14	〔14｜14｜3〕	〔14｜14｜2〕
14	〔14｜14｜4〕	〔14｜14｜3〕
14	〔14｜14｜5〕	〔14｜14｜4〕
14	〔14｜14｜6〕	〔14｜14｜5〕
14	〔14｜14｜7〕	〔14｜14｜6〕
14	〔14｜14｜8〕	〔14｜14｜7〕
14	〔14｜14｜9〕	〔14｜14｜8〕
14	〔14｜2｜10〕	〔14｜2｜9〕
14	〔14｜2｜11〕	〔14｜2｜10〕
14	〔14｜2｜12〕	〔14｜2｜11〕
14	〔14｜2｜13〕	〔14｜2｜12〕
14	〔14｜2｜14〕	〔14｜2｜13〕
14	〔14｜2｜15〕	〔14｜2｜14〕
14	〔14｜2｜16〕	〔14｜2｜15〕
14	〔14｜2｜17〕	〔14｜2｜16〕
14	〔14｜2｜18〕	〔14｜2｜17〕
14	〔14｜2｜1〕	〔14｜1｜18〕
14	〔14｜2｜2〕	〔14｜2｜1〕
14	〔14｜2｜3〕	〔14｜2｜2〕
14	〔14｜2｜4〕	〔14｜2｜3〕
14	〔14｜2｜5〕	〔14｜2｜4〕
14	〔14｜2｜6〕	〔14｜2｜5〕
14	〔14｜2｜7〕	〔14｜2｜6〕
14	〔14｜2｜8〕	〔14｜2｜7〕
14	〔14｜2｜9〕	〔14｜2｜8〕
16	〔16｜10｜10〕	〔16｜10｜11〕
16	〔16｜10｜11〕	〔16｜10｜12〕
16	〔16｜10｜12〕	〔16｜10｜13〕
16	〔16｜10｜13〕	〔16｜10｜14〕
16	〔16｜10｜14〕	〔16｜10｜15〕
16	〔16｜10｜15〕	〔16｜10｜16〕
16	〔16｜10｜16〕	〔16｜10｜17〕
16	〔16｜10｜17〕	〔16｜10｜18〕
16	〔16｜10｜18〕	〔16｜10｜19〕
16	〔16｜10｜19〕	〔16｜10｜20〕
16	〔16｜10｜1〕	〔16｜10｜2〕
16	〔16｜10｜20〕	〔16｜10｜21〕
16	〔16｜10｜21〕	〔16｜10｜22〕
16	〔16｜10｜22〕	〔16｜10｜23〕
16	〔16｜10｜23〕	〔16｜10｜24〕
16	〔16｜10｜24〕	〔16｜10｜25〕
16	〔16｜10｜25〕	〔16｜10｜26〕
16	〔16｜10｜26〕	〔16｜10｜27〕
16	〔16｜10｜27〕	〔16｜10｜28〕
16	〔16｜10｜28〕	〔16｜10｜29〕
16	〔16｜10｜29〕	〔16｜10｜30〕
16	〔16｜10｜2〕	〔16｜10｜3〕
16	〔16｜10｜30〕	〔16｜10｜31〕
16	〔16｜10｜31〕	〔16｜10｜32〕
16	〔16｜10｜32〕	〔16｜10｜33〕
16	〔16｜10｜33〕	〔16｜10｜34〕
16	〔16｜10｜34〕	〔16｜10｜35〕
16	〔16｜10｜35〕	〔16｜10｜36〕
16	〔16｜10｜36〕	〔16｜10｜37〕
16	〔16｜10｜37〕	〔16｜10｜38〕
16	〔16｜10｜38〕	〔16｜10｜39〕
16	〔16｜10｜39〕	〔16｜10｜40〕
16	〔16｜10｜3〕	〔16｜10｜4〕
16	〔16｜10｜4〕	〔16｜10｜5〕
16	〔16｜10｜5〕	〔16｜10｜6〕
16	〔16｜10｜6〕	〔16｜10｜7〕
16	〔16｜10｜7〕	〔16｜10｜8〕
16	〔16｜10｜8〕	〔16｜10｜9〕
16	〔16｜10｜9〕	〔16｜10｜10〕
16	〔16｜4｜10〕	〔16｜4｜4〕
16	〔16｜4｜11〕	〔16｜4｜5〕
16	〔16｜4｜12〕	〔16｜4｜6〕
16	〔16｜4｜13〕	〔16｜4｜7〕
16	〔16｜4｜14〕	〔16｜4｜8〕
16	〔16｜4｜15〕	〔16｜4｜9〕
16	〔16｜4｜16〕	〔16｜4｜10〕
16	〔16｜4｜17〕	〔16｜4｜11〕
16	〔16｜4｜18〕	〔16｜4｜12〕
16	〔16｜4｜19〕	〔16｜4｜13〕
16	〔16｜4｜1〕	〔16｜3｜33〕
16	〔16｜4｜20〕	〔16｜4｜14〕
16	〔16｜4｜21〕	〔16｜4｜15〕
16	〔16｜4｜22〕	〔16｜4｜16〕
16	〔16｜4｜23〕	〔16｜4｜17〕
16	〔16｜4｜2〕	〔16｜3｜34〕
16	〔16｜4｜3〕	〔16｜3｜35〕
16	〔16｜4｜4〕	〔16｜3｜36〕
16	〔16｜4｜5〕	〔16｜3｜37〕
16	〔16｜4｜6〕	〔16｜3｜38〕
16	〔16｜4｜7〕	〔16｜4｜1〕
16	〔16｜4｜8〕	〔16｜4｜2〕
16	〔16｜4｜9〕	〔16｜4｜3〕
16	〔16｜7｜69〕	〔16｜7｜68〕
16	〔16｜7｜70〕	〔16｜7｜69〕
16	〔16｜7｜71〕	〔16｜7｜70〕
16	〔16｜7｜72〕	〔16｜7｜71〕
16	〔16｜7｜73〕	〔16｜7｜72〕
16	〔16｜9｜38〕	〔16｜10｜1〕
18	〔18｜41｜10〕	〔18｜41｜2〕
18	〔18｜41｜11〕	〔18｜41｜3〕
18	〔18｜41｜12〕	〔18｜41｜4〕
18	〔18｜41｜13〕	〔18｜41｜5〕
18	〔18｜41｜14〕	〔18｜41｜6〕
18	〔18｜41｜15〕	〔18｜41｜7〕
18	〔18｜41｜16〕	〔18｜41｜8〕
18	〔18｜41｜17〕	〔18｜41｜9〕
18	〔18｜41｜18〕	〔18｜41｜10〕
18	〔18｜41｜19〕	〔18｜41｜11〕
18	〔18｜41｜1〕	〔18｜40｜25〕
18	〔18｜41｜20〕	〔18｜41｜12〕
18	〔18｜41｜21〕	〔18｜41｜13〕
18	〔18｜41｜22〕	〔18｜41｜14〕
18	〔18｜41｜23〕	〔18｜41｜15〕
18	〔18｜41｜24〕	〔18｜41｜16〕
18	〔18｜41｜25〕	〔18｜41｜17〕
18	〔18｜41｜26〕	〔18｜41｜18〕
18	〔18｜41｜27〕	〔18｜41｜19〕
18	〔18｜41｜28〕	〔18｜41｜20〕
18	〔18｜41｜29〕	〔18｜41｜21〕
