320241	שׁוּשַׁ֣ן	「E74728＆lily」	「H7799＆lily」
320254	אֲרַ֪ם	「E70556＆Aram」	「H758＆Aram」
321494	מִנֵּֽהוּ	「E76882＆portion」	「H4482＆string」
322837	עת	「E70249＆now」	「H6258＆now」
323023	אַל	「E70653＆not」	「H408＆not」
324411	שֹׁשַׁנִּ֑ים	「E74728＆lily」	「H7799＆lily」
328970	יָ֨הּ	「E72038＆the Lord」	「H3050＆Jah」
332812	חֻבְּרָה	「E70683＆be united」	「H2266＆unite」
332816	שָּׁ֨ם	「E70136＆there」	「H8033＆there」
332898	יְּחָנֵּֽנוּ	「E71350＆favour」	「H2603＆be loathsome｜shew favour」
332917	גא	「E75149＆haughty」	「H1343＆proud」
332927	הָ֣יָה	「E70010＆be」	「H1961＆fall out」
332935	הָ֣יָה	「E70010＆be」	「H1961＆fall out」
332967	לֹּ֥א	「E70118＆not」	「H3808＆not」
333303	קַּדְמַ֖ת	「E75454＆beginning」	「H6927＆antiquity」
333308	מִלֵּ֖א	「E70084＆be full」	「H4390＆be full」
333634	יֹּרֵ֗ד	「E70592＆descend」	「H3381＆come down」
333642	יֹּרֵד֮	「E70592＆descend」	「H3381＆come down」
333700	עֹֽמְדִים	「E70841＆stand」	「H5975＆take one’s stand」
333771	הִכָּה	「E70298＆strike」	「H5221＆smite」
333792	הִכָּה	「E70298＆strike」	「H5221＆smite」
334123	שִׁפְלֵנוּ	「E77003＆low state」	「H8216＆low estate」
334236	שֶׁ	「E70363＆[relative]」	「H7945＆who」
334241	שֶׁ	「E70363＆[relative]」	「H7945＆who」
334246	יֹּאחֵ֓ז	「E70974＆seize」	「H270＆grasp」
335229	שֶׁ	「E70363＆[relative]」	「H7945＆who」
335235	שֶׁ	「E70363＆[relative]」	「H7945＆who」
335467	אֵֽין	「E70120＆[NEG]」	「H369＆nothing」
335484	אֵ֣ל	「E70727＆god」	「H410＆god」
338531	מו	「E70019＆water」	「H4325＆waters」
345439	אֶת	「E70005＆[object marker]」	「H853＆mark of the accusative」
346165	אֶת	「E70005＆[object marker]」	「H853＆mark of the accusative」
357650	שֶׁ	「E70363＆[relative]」	「H7945＆who」
357653	שֶׁ	「E70363＆[relative]」	「H7945＆who」
357667	שֶׁ	「E70363＆[relative]」	「H7945＆who」
357673	שֶׁ֤	「E70363＆[relative]」	「H7945＆who」
357683	שַׁ	「E70363＆[relative]」	「H7945＆who」
357741	מֶּ֨לֶךְ֙	「E70671＆king」	「H4428＆king」
357870	תֶּחְפָּֽץ	「E71371＆desire」	「H2654＆bend down｜delight in」
358005	יָּפ֨וּחַ֙	「E77412＆breath」	「H6315＆breathe」
358034	אָהֲבָ֖ה	「E70964＆love」	「H157＆love」
358057	אָהֲבָ֖ה	「E70964＆love」	「H157＆love」
358073	אָהֲבָ֥ה	「E70964＆love」	「H157＆love」
358078	שֶׁ	「E70363＆[relative]」	「H7945＆who」
358082	שֶֽׁ	「E70363＆[relative]」	「H7945＆who」
358085	שֶׁ	「E70363＆[relative]」	「H7945＆who」
358093	שֶׁ֤	「E70363＆[relative]」	「H7945＆who」
358123	תֶּחְפָּֽץ	「E71371＆desire」	「H2654＆bend down｜delight in」
358145	שְׁלֹמֹ֔ה	「E74417＆Solomon」	「H8010＆Solomon」
358203	עִטְּרָה	「E74325＆surround」	「H5849＆crown｜surround」
358231	גָּלְשׁ֖וּ	「E77420＆go down」	「H1570＆sit」
358240	שֶׁ	「E70363＆[relative]」	「H7945＆who」
358245	שֶׁ	「E70363＆[relative]」	「H7945＆who」
358299	יָּפ֨וּחַ֙	「E77412＆breath」	「H6315＆breathe」
358489	רֹּאשִׁי֙	「E70145＆head」	「H7218＆head｜Rôsh」
358583	חֹולַ֥ת	「E71725＆become weak」	「H2470＆be weak｜mollify」
358600	כָּ֖כָה	「E71987＆thus」	「H3602＆thus」
358740	שֶׁ֥	「E70363＆[relative]」	「H7945＆who」
358748	שֶׁ	「E70363＆[relative]」	「H7945＆who」
358758	שֶׁ	「E70363＆[relative]」	「H7945＆who」
358763	שֶׁ	「E70363＆[relative]」	「H7945＆who」
359099	תֶּחְפָּֽץ	「E71371＆desire」	「H2654＆bend down｜delight in」
359185	יְּדֻבַּר	「E70447＆speak」	「H1696＆speak」
359236	שֶׁ	「E70363＆[relative]」	「H7945＆who」
359300	יַּעֲמֹ֖ל	「E76575＆labour」	「H5998＆labour」
359364	נְּחָלִים֙	「E71128＆wadi」	「H5158＆palm-tree｜torrent」
